"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4"
164,0,403,4,4,0,0,1,1,0,0,1314,41,"Al poured the horse to you"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
165,0,403,4,5,0,1,0,1,293,2020,1579,37,"You offered Chris some writing tips"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
166,0,403,4,6,0,1,0,1,285,2228,1647,32,"You devoted your time to Tiana"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
167,0,403,4,7,1,1,0,0,0,0,1511,28,"You handed Courtney the notebook"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
168,0,403,4,8,1,1,1,0,386,1821,1424,77,"You taught her time to Anna"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
169,0,403,4,9,0,0,1,1,0,0,1364,43,"Andrea heard you the chicken"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
170,0,403,4,10,0,1,0,1,247,2588,1837,31,"You bestowed the honor upon Art"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
171,0,403,4,11,1,1,0,0,0,0,1746,25,"You dispensed the rations to Kelly"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
172,0,403,4,12,0,0,0,1,278,3209,1724,17,"You received the complaint from Ian"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
173,0,403,4,13,1,0,0,1,448,1987,1523,7,"Joe kicked you the soccer ball"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
174,0,403,4,14,0,1,1,1,0,0,1584,68,"You drove the land to China"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
175,0,403,4,15,1,1,0,1,410,2197,1293,29,"You hit Paul the baseball"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
176,0,403,4,16,1,1,1,0,431,2378,1648,75,"You sneezed baseball to Shawn"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
177,0,403,4,17,0,0,1,1,0,0,1236,44,"Brett saw you the bridge"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
