"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff",Grupo,,
349,0,405,3,29,1,0,0,1,265,2045,1371,20,"Your family sent you regards","01/13/2017","language","n","n","n",674,Grupo B,,
352,0,405,3,32,1,1,0,1,338,1966,1390,34,"You sang Jenni a song","01/13/2017","language","n","n","n",576,Grupo B,,
353,0,405,3,33,1,0,0,1,356,2041,1724,17,"You received the complaint from Ian","01/13/2017","language","n","n","n",317,Grupo B,,
354,0,405,3,34,0,0,0,1,136,2679,1579,5,"Katie handed the puppy to you","01/13/2017","language","n","n","n",1100,Grupo B,,
356,0,405,3,36,1,1,0,1,261,2264,1307,38,"You blew your sister a kiss","01/13/2017","language","n","n","n",957,Grupo B,,
359,0,405,3,39,0,0,0,1,206,2186,1623,8,"Shawn shot you the rubber band","01/13/2017","language","n","n","n",563,Grupo B,,
361,0,405,3,41,1,0,0,1,634,2617,1874,13,"Sara transmitted the orders to you","01/13/2017","language","n","n","n",743,Grupo B,,
362,0,405,3,42,0,1,0,1,228,2414,1746,25,"You dispensed the rations to Kelly","01/13/2017","language","n","n","n",668,Grupo B,,
365,0,405,3,45,0,1,0,1,139,3765,1681,21,"You delivered the Pizza to Andy","01/13/2017","language","n","n","n",2084,Grupo B,,
369,0,405,3,49,1,1,0,1,337,3415,1579,37,"You offered Chris some writing tips","01/13/2017","language","n","n","n",1836,Grupo B,,
370,0,405,3,50,0,0,0,1,237,3419,1523,7,"Joe kicked you the soccer ball","01/13/2017","language","n","n","n",1896,Grupo B,,
376,0,405,3,56,1,0,0,1,247,2998,2138,15,"Anna transferred responsibility to you","01/13/2017","language","n","n","n",860,Grupo B,,
381,0,405,3,61,1,0,0,1,757,2279,1647,16,"Dan confessed his secret to you","01/13/2017","language","n","n","n",632,Grupo B,,
383,0,405,3,63,0,0,0,1,394,2450,1347,9,"Mike rolled you the marble","01/13/2017","language","n","n","n",1103,Grupo B,,
386,0,405,3,66,0,1,0,1,240,2306,1744,30,"You conveyed the message to Adam","01/13/2017","language","n","n","n",562,Grupo B,,
388,0,405,3,68,1,1,0,1,294,3105,1126,39,"You taught him a lesson","01/13/2017","language","n","n","n",1979,Grupo B,,
393,0,405,3,73,0,0,0,1,141,2010,1646,1,"Alex forked over the cash to you","01/13/2017","language","n","n","n",364,Grupo B,,
394,0,405,3,74,0,0,0,1,337,2420,1693,4,"Jeff entrusted the key to you","01/13/2017","language","n","n","n",727,Grupo B,,
396,0,405,3,76,0,0,0,1,270,1903,1233,6,"Diane threw you the pen","01/13/2017","language","n","n","n",670,Grupo B,,
398,0,405,3,78,1,0,0,1,296,1588,1277,19,"Liz told you the story","01/13/2017","language","n","n","n",311,Grupo B,,
401,1,406,4,1,0,1,0,1,877,2749,1390,34,"You sang Jenni a song","01/15/2017","capacity to understand language","n","n","n",1359,Grupo B,,
402,0,406,4,2,0,1,0,1,442,2156,1635,35,"You gave Jesse another chance","01/15/2017","capacity to understand language","n","n","n",521,Grupo B,,
403,0,406,4,3,0,0,0,1,517,1989,1724,17,"You received the complaint from Ian","01/15/2017","capacity to understand language","n","n","n",265,Grupo B,,
406,0,406,4,6,1,0,0,1,551,1872,1579,5,"Katie handed the puppy to you","01/15/2017","capacity to understand language","n","n","n",293,Grupo B,,
