"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad",Grupo Lift Off,Grupo Lift Off Diff,Grupo MoveTime
435,0,406,4,35,0,1,0,1,602,1642,1126,39,"You taught him a lesson",516,0,Grupo B,Grupo B,Grupo B
436,0,406,4,36,0,0,0,1,432,2571,2138,15,"Anna transferred responsibility to you",433,1,Grupo B,Grupo B,Grupo B
437,0,406,4,37,0,0,0,1,440,2011,1647,16,"Dan confessed his secret to you",364,1,Grupo B,Grupo B,Grupo B
438,0,406,4,38,1,0,0,1,805,2645,1623,8,"Shawn shot you the rubber band",1022,0,Grupo B,Grupo B,Grupo B
442,0,406,4,42,1,1,0,1,1672,3700,1511,28,"You handed Courtney the notebook",2189,1,Grupo B,Grupo B,Grupo B
445,0,406,4,45,1,0,0,1,603,2970,1684,2,"Vincent donated money to you",1286,0,Grupo B,Grupo B,Grupo B
447,0,406,4,47,0,1,0,1,1104,3006,1837,31,"You bestowed the honor upon Art",1169,0,Grupo B,Grupo B,Grupo B
450,0,406,4,50,0,0,0,1,484,1646,1501,12,"Mike sold the land to you",145,1,Grupo B,Grupo B,Grupo B
451,0,406,4,51,1,1,0,1,379,2166,1483,23,"You kicked the football to Jack",683,1,Grupo B,Grupo B,Grupo B
454,0,406,4,54,1,1,0,1,478,2089,1681,21,"You delivered the Pizza to Andy",408,1,Grupo B,Grupo B,Grupo B
456,0,406,4,56,0,1,0,1,537,2423,1507,40,"You pitched Andy the idea",916,0,Grupo B,Grupo B,Grupo B
457,0,406,4,57,1,0,0,1,521,2062,1693,4,"Jeff entrusted the key to you",369,0,Grupo B,Grupo B,Grupo B
459,0,406,4,59,0,0,0,1,505,1707,1371,20,"Your family sent you regards",336,1,Grupo B,Grupo B,Grupo B
463,0,406,4,63,1,0,0,1,393,1697,1233,6,"Diane threw you the pen",464,0,Grupo B,Grupo B,Grupo B
