"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff","X.2","X","X.1","Compatibilidad","X.3","X.4","X.5"
209,0,"Grupo A",403,4,49,0,0,0,1,435,1534,1002,11,"Heather slipped you a note","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","532",NA,NA,"","",1,NA,NA,NA
211,0,"Grupo A",403,4,51,0,1,0,1,328,1913,1126,39,"You taught him a lesson","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","787",NA,NA,"","",0,NA,NA,NA
212,0,"Grupo A",403,4,52,1,1,0,1,240,1715,1485,22,"You awarded a medal to Helen","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","230",NA,NA,"","",1,NA,NA,NA
221,0,"Grupo A",403,4,61,0,0,0,1,384,2852,2184,14,"The policeman radioed the message to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","668",NA,NA,"","",1,NA,NA,NA
224,0,"Grupo A",403,4,64,1,0,0,1,351,2342,1347,9,"Mike rolled you the marble","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","995",NA,NA,"","",0,NA,NA,NA
227,0,"Grupo A",403,4,67,0,0,0,1,449,2155,1501,12,"Mike sold the land to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","654",NA,NA,"","",1,NA,NA,NA
230,0,"Grupo A",403,4,70,0,0,0,1,394,2190,2138,15,"Anna transferred responsibility to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","52",NA,NA,"","",1,NA,NA,NA
232,0,"Grupo A",403,4,72,1,0,0,1,5089,90,1473,10,"Your dad poured you some water","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","-1383",NA,NA,"","",0,NA,NA,NA
235,0,"Grupo A",403,4,75,1,0,0,1,328,1990,1693,4,"Jeff entrusted the key to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","297",NA,NA,"","",0,NA,NA,NA
237,0,"Grupo A",403,4,77,0,0,0,1,303,1655,1277,19,"Liz told you the story","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","378",NA,NA,"","",1,NA,NA,NA
238,0,"Grupo A",403,4,78,0,0,0,1,391,1872,1647,16,"Dan confessed his secret to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","225",NA,NA,"","",1,NA,NA,NA
241,1,"Grupo A",404,1,1,1,1,0,1,56,1748,1407,40,"You sent your family regards","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",341,NA,"","",1,NA,NA,NA
248,0,"Grupo A",404,1,8,0,0,0,1,103,1956,1704,10,"Adam conveyed the message to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",252,NA,"","",1,NA,NA,NA
249,0,"Grupo A",404,1,9,1,0,0,1,19,1988,1733,16,"Steve lavished you with praise","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",255,NA,"","",0,NA,NA,NA
250,0,"Grupo A",404,1,10,1,1,0,1,7,2279,2034,35,"You transferred responsibility to Anna","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",245,NA,"","",1,NA,NA,NA
251,0,"Grupo A",404,1,11,0,0,0,1,2,1782,1559,8,"Courtney handed you the notebook","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",223,NA,"","",1,NA,NA,NA
260,0,"Grupo A",404,1,20,0,0,0,1,17,1907,1503,1,"Andy delivered the pizza to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",404,NA,"","",1,NA,NA,NA
261,0,"Grupo A",404,1,21,0,0,0,1,20,2208,1875,5,"Kelly dispensed the rations to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",333,NA,"","",1,NA,NA,NA
262,0,"Grupo A",404,1,22,1,0,0,1,83,1621,1022,19,"He taught you a lesson","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",599,NA,"","",0,NA,NA,NA
263,0,"Grupo A",404,1,23,1,0,0,1,121,1743,1698,15,"Jesse gave you another chance","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",45,NA,"","",0,NA,NA,NA
264,0,"Grupo A",404,1,24,0,0,0,1,146,1745,1396,6,"Christine bought you ice cream","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",349,NA,"","",1,NA,NA,NA
