"","count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad","Grupo.Lift.Off","Grupo.Lift.Off.Diff","Grupo.MoveTime"
"138",349,0,405,3,29,1,0,0,1,265,2045,1371,20,"Your family sent you regards",674,0,"Grupo B","Grupo B","Grupo A"
"139",352,0,405,3,32,1,1,0,1,338,1966,1390,34,"You sang Jenni a song",576,1,"Grupo B","Grupo B","Grupo A"
"140",353,0,405,3,33,1,0,0,1,356,2041,1724,17,"You received the complaint from Ian",317,0,"Grupo B","Grupo B","Grupo A"
"141",354,0,405,3,34,0,0,0,1,136,2679,1579,5,"Katie handed the puppy to you",1100,1,"Grupo B","Grupo B","Grupo A"
"142",356,0,405,3,36,1,1,0,1,261,2264,1307,38,"You blew your sister a kiss",957,1,"Grupo B","Grupo B","Grupo A"
"143",359,0,405,3,39,0,0,0,1,206,2186,1623,8,"Shawn shot you the rubber band",563,1,"Grupo B","Grupo B","Grupo A"
"144",361,0,405,3,41,1,0,0,1,634,2617,1874,13,"Sara transmitted the orders to you",743,0,"Grupo B","Grupo B","Grupo A"
"145",362,0,405,3,42,0,1,0,1,228,2414,1746,25,"You dispensed the rations to Kelly",668,0,"Grupo B","Grupo B","Grupo A"
"147",369,0,405,3,49,1,1,0,1,337,3415,1579,37,"You offered Chris some writing tips",1836,1,"Grupo B","Grupo B","Grupo A"
"148",370,0,405,3,50,0,0,0,1,237,3419,1523,7,"Joe kicked you the soccer ball",1896,1,"Grupo B","Grupo B","Grupo A"
"149",376,0,405,3,56,1,0,0,1,247,2998,2138,15,"Anna transferred responsibility to you",860,0,"Grupo B","Grupo B","Grupo A"
"150",381,0,405,3,61,1,0,0,1,757,2279,1647,16,"Dan confessed his secret to you",632,0,"Grupo B","Grupo B","Grupo A"
"151",383,0,405,3,63,0,0,0,1,394,2450,1347,9,"Mike rolled you the marble",1103,1,"Grupo B","Grupo B","Grupo A"
"152",386,0,405,3,66,0,1,0,1,240,2306,1744,30,"You conveyed the message to Adam",562,0,"Grupo B","Grupo B","Grupo A"
"153",388,0,405,3,68,1,1,0,1,294,3105,1126,39,"You taught him a lesson",1979,1,"Grupo B","Grupo B","Grupo A"
"154",393,0,405,3,73,0,0,0,1,141,2010,1646,1,"Alex forked over the cash to you",364,1,"Grupo B","Grupo B","Grupo A"
"155",394,0,405,3,74,0,0,0,1,337,2420,1693,4,"Jeff entrusted the key to you",727,1,"Grupo B","Grupo B","Grupo A"
"156",396,0,405,3,76,0,0,0,1,270,1903,1233,6,"Diane threw you the pen",670,1,"Grupo B","Grupo B","Grupo A"
"157",398,0,405,3,78,1,0,0,1,296,1588,1277,19,"Liz told you the story",311,0,"Grupo B","Grupo B","Grupo A"
"158",401,1,406,4,1,0,1,0,1,877,2749,1390,34,"You sang Jenni a song",1359,0,"Grupo B","Grupo B","Grupo B"
"159",402,0,406,4,2,0,1,0,1,442,2156,1635,35,"You gave Jesse another chance",521,0,"Grupo B","Grupo B","Grupo B"
"160",403,0,406,4,3,0,0,0,1,517,1989,1724,17,"You received the complaint from Ian",265,1,"Grupo B","Grupo B","Grupo B"
"161",406,0,406,4,6,1,0,0,1,551,1872,1579,5,"Katie handed the puppy to you",293,0,"Grupo B","Grupo B","Grupo B"
"163",410,0,406,4,10,1,0,0,1,484,2783,1646,1,"Alex forked over the cash to you",1137,0,"Grupo B","Grupo B","Grupo B"
"164",411,0,406,4,11,0,0,0,1,577,2543,2184,14,"The policeman radioed the message to you",359,1,"Grupo B","Grupo B","Grupo B"
"165",416,0,406,4,16,1,1,0,1,257,2590,1439,26,"You bought Christine ice cream",1151,1,"Grupo B","Grupo B","Grupo B"
"166",417,0,406,4,17,1,1,0,1,282,2841,2109,27,"You slid Sally the cafeteria tray",732,1,"Grupo B","Grupo B","Grupo B"
"167",420,0,406,4,20,0,1,0,1,334,2386,1639,33,"You dedicated the song to John",747,0,"Grupo B","Grupo B","Grupo B"
"168",422,0,406,4,22,0,0,0,1,246,2002,1277,19,"Liz told you the story",725,1,"Grupo B","Grupo B","Grupo B"
"169",423,0,406,4,23,0,0,0,1,524,1511,1304,18,"Amanda paid you tribute",207,1,"Grupo B","Grupo B","Grupo B"
"170",425,0,406,4,25,1,1,0,1,517,1851,1485,22,"You awarded a medal to Helen",366,1,"Grupo B","Grupo B","Grupo B"
"171",427,0,406,4,27,0,0,0,1,520,2728,1874,13,"Sara transmitted the orders to you",854,1,"Grupo B","Grupo B","Grupo B"
"172",428,0,406,4,28,0,1,0,1,840,2524,1647,32,"You devoted your time to Tiana",877,0,"Grupo B","Grupo B","Grupo B"
"173",435,0,406,4,35,0,1,0,1,602,1642,1126,39,"You taught him a lesson",516,0,"Grupo B","Grupo B","Grupo B"
"174",436,0,406,4,36,0,0,0,1,432,2571,2138,15,"Anna transferred responsibility to you",433,1,"Grupo B","Grupo B","Grupo B"
"175",437,0,406,4,37,0,0,0,1,440,2011,1647,16,"Dan confessed his secret to you",364,1,"Grupo B","Grupo B","Grupo B"
"176",438,0,406,4,38,1,0,0,1,805,2645,1623,8,"Shawn shot you the rubber band",1022,0,"Grupo B","Grupo B","Grupo B"
"178",445,0,406,4,45,1,0,0,1,603,2970,1684,2,"Vincent donated money to you",1286,0,"Grupo B","Grupo B","Grupo B"
"179",447,0,406,4,47,0,1,0,1,1104,3006,1837,31,"You bestowed the honor upon Art",1169,0,"Grupo B","Grupo B","Grupo B"
"180",450,0,406,4,50,0,0,0,1,484,1646,1501,12,"Mike sold the land to you",145,1,"Grupo B","Grupo B","Grupo B"
"181",451,0,406,4,51,1,1,0,1,379,2166,1483,23,"You kicked the football to Jack",683,1,"Grupo B","Grupo B","Grupo B"
"182",454,0,406,4,54,1,1,0,1,478,2089,1681,21,"You delivered the Pizza to Andy",408,1,"Grupo B","Grupo B","Grupo B"
"183",456,0,406,4,56,0,1,0,1,537,2423,1507,40,"You pitched Andy the idea",916,0,"Grupo B","Grupo B","Grupo B"
"184",457,0,406,4,57,1,0,0,1,521,2062,1693,4,"Jeff entrusted the key to you",369,0,"Grupo B","Grupo B","Grupo B"
"185",459,0,406,4,59,0,0,0,1,505,1707,1371,20,"Your family sent you regards",336,1,"Grupo B","Grupo B","Grupo B"
"186",463,0,406,4,63,1,0,0,1,393,1697,1233,6,"Diane threw you the pen",464,0,"Grupo B","Grupo B","Grupo B"
"187",465,0,406,4,65,1,0,0,1,338,2006,1523,7,"Joe kicked you the soccer ball",483,0,"Grupo B","Grupo B","Grupo B"
"188",466,0,406,4,66,1,0,0,1,490,1952,1473,10,"Your dad poured you some water",479,0,"Grupo B","Grupo B","Grupo B"
"190",471,0,406,4,71,0,1,0,1,468,1894,1579,37,"You offered Chris some writing tips",315,0,"Grupo B","Grupo B","Grupo B"
"191",474,0,406,4,74,1,1,0,1,486,1949,1321,24,"You drove the car to Amber",628,1,"Grupo B","Grupo B","Grupo B"
"192",475,0,406,4,75,1,0,0,1,1152,2316,1460,3,"Mark dealt the cards to you",856,0,"Grupo B","Grupo B","Grupo B"
"193",479,0,406,4,79,1,1,0,1,315,1784,1293,29,"You hit Paul the baseball",491,1,"Grupo B","Grupo B","Grupo B"
"194",480,0,406,4,80,1,0,0,1,352,2403,1347,9,"Mike rolled you the marble",1056,0,"Grupo B","Grupo B","Grupo B"
