"ID","CueDirection","SentenceDirection","liftOffDiff","Grupo","SentDur"
424,1,1,541,Grupo B,1371
424,0,0,312,Grupo B,1926
424,0,0,479,Grupo B,1875
424,0,1,467,Grupo B,1620
424,0,0,684,Grupo B,1433
424,0,0,490,Grupo B,1503
424,1,1,295,Grupo B,1856
424,0,0,604,Grupo B,1559
424,1,0,405,Grupo B,1746
424,0,1,1075,Grupo B,1567
424,0,1,966,Grupo B,1637
424,0,0,817,Grupo B,1704
424,1,0,1157,Grupo B,1698
424,0,1,1187,Grupo B,1186
424,0,0,429,Grupo B,1396
424,1,0,427,Grupo B,1696
424,1,0,834,Grupo B,1022
425,1,0,1230,Grupo B,1473
425,1,1,1799,Grupo B,1681
425,1,0,894,Grupo B,1684
425,0,1,824,Grupo B,1639
425,1,0,925,Grupo B,1347
425,0,0,797,Grupo B,1501
425,1,0,819,Grupo B,1233
425,1,0,519,Grupo B,1460
425,0,0,715,Grupo B,1277
425,1,0,1289,Grupo B,1579
425,1,0,1714,Grupo B,1623
425,0,0,1460,Grupo B,1724
425,0,1,975,Grupo B,1647
425,0,0,649,Grupo B,1874
425,1,1,413,Grupo B,1744
425,1,0,1330,Grupo B,1523
425,0,0,462,Grupo B,1647
425,1,1,1490,Grupo B,1439
425,0,1,374,Grupo B,1635
425,0,1,343,Grupo B,1579
425,0,1,881,Grupo B,1507
425,0,1,590,Grupo B,1390
426,0,1,515,Grupo B,1724
426,1,0,708,Grupo B,1433
426,1,1,299,Grupo B,1645
426,1,1,587,Grupo B,1422
426,0,1,234,Grupo B,1371
426,0,1,171,Grupo B,1270
426,0,1,1201,Grupo B,2065
426,1,0,710,Grupo B,1503
426,0,0,560,Grupo B,1022
426,0,0,537,Grupo B,1369
426,0,1,409,Grupo B,1856
426,1,0,744,Grupo B,1704
426,0,0,777,Grupo B,1472
426,1,0,1027,Grupo B,1875
426,1,1,466,Grupo B,1427
426,1,1,241,Grupo B,1637
426,1,0,416,Grupo B,1926
426,1,0,855,Grupo B,1559
426,0,0,521,Grupo B,1746
426,1,1,3262,Grupo B,1634
426,1,1,512,Grupo B,1567
426,0,1,707,Grupo B,1407
426,0,0,1173,Grupo B,1698
426,1,0,708,Grupo B,1396
426,1,0,840,Grupo B,1534
426,0,1,450,Grupo B,2034
426,0,1,352,Grupo B,1600
426,0,1,389,Grupo B,1310
